title,img1,img2,price,status,brand
[CN9677-102] W NIKE VICTORI ONE SLIDE 'WHITE SUNSET/PULSE BLACK',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/latest-nike-wmns-benassi-jdi-pink-white.jpg?v=1649818593000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/sh1293-1.jpg?v=1649818576000,1.050.000?,38,NIKE
[CZ8027-400] W NIKE JORDAN NOLA SLIDE 'CELESTINE BLUE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-nola-slide-ncqgpt-53aade41-c0ae-4840-a9f3-594bab423ca7.png?v=1649818362000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-nola-slide-ncqgpt.png?v=1649818351000,1.250.000?,36.5|38|39,JORDAN
[CN9677-801] W NIKE VICTORI ONE SLIDE 'ARCTIC ORANGE SAIL',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/victori-one-slide-x1t3qn-1da13bb85e9943c7ad043b38707d6247-jpeg.jpg?v=1649818140000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/womens-nike-victori-one-slide-arctic-orange-cn9677-801-1-1024x1024-2x-e6b9b928f8184df2bf9f73f208af7e4f.jpg?v=1649818126000,1.050.000?,36.5|38|39,NIKE
[DD3242-601] K NIKE KAWA 'UNIVERSITY RED/BLACK/WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/dd3242-601-1-1024x1024-jpg-v-1648025732.jpg?v=1649818047000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-little-big-kids-slides-vxzxnz.png?v=1649818031000,950.000?,36|37.5|40,NIKE
[GZ0070] M ADIDAS ADILETTE TND STAR WARS 'GREEN/BLACK',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/fe43ca56c1f41987f4032649e40b4ba2.jpg?v=1649574632000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/dep-adilette-tnd-xam-gz0070-011-hover-standard.jpg?v=1649574610000,1.250.000?,39|40.5|42|43|44.5,ADIDAS
"[GZ2913] W ADIDAS ADILETTE COMFORT ""WONDER WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/screenshot-2022-03-24-144653.png?v=1648108069000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/screenshot-2022-03-24-144607.png?v=1648108069000,799.000?,37|38|39,ADIDAS
"[GV7349] M ADIDAS ADILETTE COMFORT ""SIMPSON""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/screenshot-2022-03-24-144413.png?v=1648107919000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/the-simpsons-adilette-comfort-slides-black-gv7349-011-hover-standard.jpg?v=1648107919000,799.000?,37|38|39|40.5|42|43|44.5,ADIDAS
[AR6374-008] M NIKE JORDAN BREAK SLIDE BLACK/SUNSET,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/60e2f216dfa42.jpg?v=1648106944000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/screenshot-2022-03-24-142612.png?v=1648106944000,1.150.000?,41,JORDAN
[GZ2916] W ADIDAS ADILETTE COMFORT CORE BLACK/CARBON,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-comfort-slides-black-gz2916-01-standard.jpg?v=1646993660000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-comfort-slides-black-gz2916-02-standard-hover.jpg?v=1646993660000,799.000?,37|38|39|40.5|42,ADIDAS
[GY8076] M ADIDAS ADILETTE LITE SLIDE SANDAL WHITE/MULTI,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/gy8077-100-p1-384838a7-b0fe-4644-a06c-e11b23875fee.jpg?v=1648028721000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/gy8076-100-p4-0fa3bc16-978c-4b23-a5b2-960609f7c61e.jpg?v=1648028721000,900.000?,42|43|44.5,ADIDAS
