title,img1,img2,price,status,brand
[CZ0294-100] W NIKE COURT LEGACY CANVAS 'TRIPLE WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/54-90d4aaf433984d8797b2aef70031f10c.jpg?v=1649818699000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/54-30-21079ff362e14c2ab3cd62432114254e.jpg?v=1649818699000,1.650.000?,36,ADIDAS
[CJ0509-001] W NIKE ZOOM RIVAL FLY 2 'BLACK/THUNDER GREY/WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/61jbe5wgwfl.jpg?v=1649818479000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/71cph3boysl.jpg?v=1649818431000,2.350.000?,37.5|38|38.5,NIKE
[CK6649-104] W NIKE AF1 PIXEL 'LIGHT STONE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-air-force-1-pixel-light-stone-light-bone-summit-white-ck6649-104-1024x1024-jpg-v-1634850060.jpg?v=1649818247000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/28-1-6eab6c66459c4e24ae5528b1fbcb70a9-jpeg.jpg?v=1649818232000,3.200.000?,35.5|36.5|37.5,NIKE
[DA4086-100] K NIKE BLAZER MID VINTAGE 'WHITE/BLACK',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/7e0c28479-nike-wmns-blazer-mid-77-white-black-sail-cz1055-100-1-os-18f7ca88e49c49fc85a90bb29fe70b7b.jpg?v=1649574821000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-blazer-mid-vintage-white-black-da4086-100-2.jpg?v=1649574760000,2.650.000?,38.5,NIKE
[553558-130] K NIKE AIR JORDAN 1 LOW 'TRIPLE WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-air-jordan-1-low-all-white-1-pingpoong-auth-e1612161424451-jpg-fit-1280-percentage-2c1280-ssl-1.jpg?v=1649574711000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/23.jpg?v=1649574701000,3.250.000?,37.5,JORDAN
[CT3839-106] K NIKE AIR FORCE 1 LOW GS 'WHITE AURA/WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-air-force-1-gs-white-aura-ct3839-106-w900.jpg?v=1649574509000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-air-force-1-gs-white-aura-ct3839-106-side-w900.jpg?v=1649574490000,2.650.000?,36|36.5|37.5|38|38.5,NIKE
[BQ5448-100] K NIKE COURT BOROUGH LOW 2 GS 'TRIPLE WHITE/WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-the-thao-nike-court-borough-low-2-gs-bq5448-100-mau-trang-602e0f7e3e1a4-18022021135558.jpg?v=1649574392000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-court-borough-low-2-gs-bq5448-100-01-jpg-v-1598292808167.jpg?v=1649574375000,1.890.000?,38|36|36.5|38.5|37.5,NIKE
[DA5380-102] K NIKE COURT LEGACY 'WHITE/DESERT OCHRE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/d8a380da-37ed-4a73-90df-1fad1484d0c8-jpg-v-1622958805563-jpg-v-1624190459167.jpg?v=1649574328000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/8621bee2-2cc5-46f7-987a-508756f84889-jpg-v-1622958804163.jpg?v=1649574319000,1.890.000?,36.5|36|37.5|38.5|38|39,NIKE
[GX5061] W ADIDAS FORUM LOW 'WHITE/WONDER WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adidas-originals-wmns-forum-low-2e4c8c8f8af54889a45a838ef884817b-1024x1024.png?v=1649574218000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-forum-low-trang-gx5061-01-standard.jpg?v=1649574184000,2.300.000?,38|36|36.7|38.7|39.3,ADIDAS
"[DD1391-100] M NIKE DUNK LOW RETRO 'BLACK/WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-dunk-low-black-6-pingpoong-auth-jpg-fit-1140-percentage-2c1140-ssl-1.jpg?v=1649574043000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/98dbed9d42bdc8190b9ce144bdf21bbf.jpg?v=1649573949000,8.900.000?,44|42|42.5|43|41,NIKE
"[553558-612] M AIR JORDAN 1 LOW ""BRED TOE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/daa3d6c7-0794-434f-a977-69150b7dcc45-jpg-v-1637635564430-d245ebae-e7b4-42cf-8f9f-610ed0ca17e2.jpg?v=1649335948000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/74a1fdbc-1a34-4715-90b2-3ec02df5730a-jpg-v-1637635564430.jpg?v=1649335948000,5.650.000?,40.5|41|42|42.5|43|40,JORDAN
"[FX5202] K ADIDAS SUPERSTAR 80 ""GOLD METALLIC""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/30c5569860831196cbe8fc9f2aef900f.jpg?v=1648108178000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/aa7f563bbdf0ac8acafcb523c756018f.jpg?v=1648108177000,2.300.000?,38,ADIDAS
"[FX6067] K ADIDAS CONTINENTAL 80 ""COLLEGIATE NAVY""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/screenshot-2022-03-24-144003.png?v=1648107672000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/screenshot-2022-03-24-143937.png?v=1648107671000,2.150.000?,38,ADIDAS
"[DH4406-102] W NIKE AIR FORCE 1 ""GREEN PAISLEY""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/dh4406-102-7-jpeg.jpg?v=1648029322000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/upload-916bf113715048729e3c2f22266793bb.jpg?v=1648029322000,4.550.000?,36.5|37.5|38|38.5|39,NIKE
[554724-096] M AIR JORDAN 1 MID SHADOW RED,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/554724-096-8-jpeg.jpg?v=1648469586000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/1-89f41e0b-30a8-47a2-a03e-32ee493a7ac2.jpg?v=1648469586000,5.450.000?,40|40.5|41|42|42.5,JORDAN
[CT3839-104] K NIKE AIR FORCE 1 PINK GLAZER,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-nike-air-force-1-gs-white-pink-glaze-ct3839-104-jpeg.jpg?v=1648028828000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-nike-air-force-1-gs-white-pink-glaze-ct3839-104-1-jpeg.jpg?v=1648028828000,2.650.000?,36|37.5|38.5|39,NIKE
"[DH4406-101] W NIKE AIR FORCE 1 LOW ""BLACK PAISLEY""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/httpskicksfinder-comdh4406-101-7.png?v=1647958134000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/4406-101.png?v=1647958133000,4.550.000?,36.5|37.5|38|38.5|39,NIKE
[BQ6806-100] M NIKE BLAZER MID '77 VINTAGE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-blazer-mid-77-vintage-bq6806-100-ab105cfc-0f16-429b-baa1-6e60e9f6b3cd.jpg?v=1648469730000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/3.png?v=1648469730000,2.990.000?,42|42.5|43,NIKE
"[AQ3778-994] NIKE AIR FORCE 1 LOW CUSTOM ""GUCCI""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-by-you-custom-gucci-ct7865-994-1-768x768.jpg?v=1648532684000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-by-you-custom-gucci-ct7865-994-768x768.jpg?v=1648532684000,4.250.000?,36|36.5|37.5|38|38.5|40|40.5|41|42,NIKE
[FV3284] W ADIDAS SUPERSTAR CLOUD WHITE/CORE BLACK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/d46bedc9-b9c2-4a80-88a5-b9c11f8ba21e-d6ced014-23cf-4dd5-a689-0833cabbbb9a.jpg?v=1648106637000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/1a8053d9-4984-4358-9804-59385a746ab7-b2f0433b-7986-4101-80c0-eee1912c2fe0.jpg?v=1648106633000,2.350.000?,37.3,ADIDAS
[FV3284] W ADIDAS SUPERSTAR CLOUD WHITE/CORE BLACK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/d46bedc9-b9c2-4a80-88a5-b9c11f8ba21e.jpg?v=1648106639000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/2-a239924c-b998-4fa2-b6ae-13a842754532.jpg?v=1648106639000,2.350.000?,38.7,ADIDAS
"[DD1525-100] W NIKE AIR FORCE 1 LOW ""WHITE PENDANT""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/women-s-air-force-1-white-pendant-dd1525-100-release-date-c630b781-6dba-4139-8a3f-d106bdafcedd.jpg?v=1646286268000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/women-s-air-force-1-white-pendant-dd1525-100-release-date.jpg?v=1646286178000,4.250.000?,36|36.5|37.5|38|38.5|39,NIKE
[FW2502] W ADIDAS SUPERSTAR SIGNAL PINK/SOCK PURBLE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-superstar-trang-fw2502-02-standard.jpg?v=1647180057000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-superstar-trang-fw2502-01-standard.jpg?v=1647180037000,2.190.000?,36.7|38|38.7|40,ADIDAS
"[CJ1650-101] W NIKE AIR FORCE 1 LOW ""TEAR AWAY""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/wethenew-sneakers-france-nike-air-force-1-low-tear-away-sail-cj1650-101-1-2000x-1bdd3264-c0c8-4996-8647-ebda8b550c3f-700x-png-v-1620213833.jpg?v=1646464160000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/wethenew-sneakers-france-nike-air-force-1-low-tear-away-sail-cj1650-101-3-2000x-06e5a30c-9232-4f71-ae40-bca96bb9678f-700x-png-v-1627940452.jpg?v=1646464160000,6.200.000?,41,NIKE
[GZ8050] W ADIDAS SLEEK CLEAR PINK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-sleek-trang-gz8050-02-standard-hover.jpg?v=1647180970000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-sleek-trang-gz8050-01-standard.jpg?v=1647180958000,2.190.000?,36.7|37.3|38,ADIDAS
[DB3258] W ADIDAS SLEEK CRYSTAL WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-sleek-trang-db3258-02-standard-hover.jpg?v=1647180748000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-sleek-trang-db3258-01-standard.jpg?v=1647180737000,2.190.000?,40|40.7,ADIDAS
[GZ5989] W ADIDAS STAN SMITH DISNEY GROOT ANG GAMORA,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-disney-groot-and-gamora-trang-gz5989-011-hover-standard.jpg?v=1647180621000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-disney-groot-and-gamora-trang-gz5989-01-standard.jpg?v=1647180605000,2.300.000?,36.7|37.3|38|38.7|39.3,ADIDAS
"[553560-612] K NIKE AIR JORDAN 1 LOW ""BRED TOE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-1-low-bred-toe-gs-553560-612-4.jpg?v=1648113401000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-1-low-bred-toe-gs-553560-612-2.jpg?v=1648113401000,4.450.000?,35.5|36|36.5|37.5|38|38.5,JORDAN
[H04056] W ADIDAS STAS SMITH SUPPLIER COLOUR,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-trang-h04056-02-standard-hover.jpg?v=1647181651000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-trang-h04056-01-standard.jpg?v=1647181374000,2.300.000?,36|36.7|37.3|38|38.7|39.3,ADIDAS
[GZ8142] W ADIDAS STAN SMITH PURPLE TINT,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-trang-gz8142-02-standard-hover.jpg?v=1647242561000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-trang-gz8142-01-standard.jpg?v=1647242545000,2.300.000?,36|36.7|37.3|38|38.7|39.3,ADIDAS
"[DQ4502-171] K NIKE AIR FORCE 1 LOW ""YEAR OF THE TIGER""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-force-1-lv8-older-shoes-wtkspt-da180522-2018-4a6c-b2d1-d0353fd54cd8.png?v=1646632618000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-force-1-lv8-older-shoes-wtkspt.png?v=1646632597000,2.650.000?,36|36.5|37.5|38|38.5|39|40,NIKE
[DA4074-108] K NIKE BLAZER LOW '77 WHITE WASHED TEAL,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/blazer-low-77-older-shoe-j24tzh.png?v=1648469477000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/da4074-108.jpg?v=1648469477000,2.190.000?,35.5|36|36.5|37.5|38|38.5|39,NIKE
[DA4074-107] K NIKE BLAZER LOW '77 WHITE/METALLIC RED/BRONZE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/blazer-low-77-older-shoe-j24tzh-ad69e2f5-cbf8-4c66-a99e-e871dbda757a.png?v=1645440953000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/blazer-low-77-older-shoe-j24tzh-a09e7acb-5950-4ed8-b50c-b86fc68c1b4c.png?v=1645440940000,2.190.000?,36|36.5|38|38.5|39|37.5|35.5,NIKE
[DM0850-100] W NIKE BLAZER MID 77 'WHITE PENDANTS',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/women-s-blazer-mid-77-white-pendants-dm0850-100-release-date-c937c42c-69c0-4ef3-b908-1a5b00ce66d5.jpg?v=1648469919000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/4.png?v=1648469919000,3.850.000?,36.5|37.5|38|38.5|39,NIKE
[DC0774-800] W NIKE AIR JORDAN 1 LOW 'LIGHT MADDER ROOTS',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/womens-air-jordan-1-low-light-madder-root-dc0774-800-16411431293802.jpg?v=1643100719000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/womens-air-jordan-1-low-light-madder-root-dc0774-800-16411431293791.jpg?v=1643100710000,4.450.000?,36|36.5|37.5|38|38.5|39,JORDAN
[DC6991-016] M NIKE AIR JORDAN 1 LOW ' LIGHT SMOKE GREY GYM RED',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-se-light-smoke-grey-gym-red-wethenew-2-200x-png-v-1640094858-d49a96c6-01b0-45a2-a20b-9d3a10389c12.jpg?v=1643100569000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-se-light-smoke-grey-gym-red-wethenew-1-2000x-png-v-1640094858-7e495229-68a1-49d7-a679-0465086d7ec4.jpg?v=1643100561000,5.250.000?,41|42|42.5|43|44.5,JORDAN
